"hotelName","hotelId","title","content"
"Baur au Lac",,"Excellent afternoon tea","Since we did not spend the night, our review is limited to the afternoon tea - which was excellent. Friendly staff, beautiful location, and of course tasty sandwiches, top scones and sweets to top it off. Highly recommend giving this a try!"
"Baur au Lac",,"Brilliant","I was fortunate to stay in the Baur Au Lac. Billed as one of the great hotels of the world and it lives up to that and more. Opulent and luxurious are words that spring to mind when I think of the Baur. The room was superb, the bed and the pillows (there is a choice) were so comfortable - the highest praise I can say is that it felt like I was sleeping in my own bed. There was an issue on check in that I was placed in a room beside the lift which for some would not be a problem but for me was a little too noisy. I requested a quieter room and I was immediately shown to a different room. Facilities in the room were excellent and the shower and bathroom were top class. Everything was spotlessly clean. The hotel is well located in Zurich and basically close to everything. The"
"Baur au Lac",,"Top Class","Excellent Service, comfortable rooms and above all, personalised attention and service. In particular the doormen and the reception personnel. Delicious à la carte dinner in the Pavillion with an excellent selection of wines by the glass. "
"Baur au Lac",,"Amazing!!","I could not think of anything negative or mediocre about this hotel. Every detail is taken care of, incredible staff, incredible food, rooms and room service are over the top. The location is perfect. Everything helped to have an unforgettable aniversary. "
"Baur au Lac",,"a lovely hideaway in the middle of Zurich","Impeccable service, lovely traditional rooms, great location. The Breakfast selection could offer more variety. The eggs Benedict were good, but the yolk just a bit too hard. The coffees were luke warm. Just note currently there is a construction next door, triple paned windows guarantee quiet sleep though."
"Baur au Lac",,"Very comfortable","We stayed here for 2 nights and found the hotel excellent - it’s expensive but the service and attitude 1st class. Rooms and beds very comfortable and the bathroom has an enormous bath plus large seperate shower . The common rooms are elegant and decorated in a clean conservative manner, having comfortable chairs and sofas This is an old school hotel and I defy anyone not to like it. Breakfast is in a superb room where there is plenty of service on hand should you so wish - again this is expensive Note - I’ve stayed at many 5 star hotels and been served maple syrup that isn’t the real Macoy which I find very annoying- here it’s the real deal and excellent quality too"
"Baur au Lac",,"Elegant, stylish, classic five-star hotel","Everything in this hotel is elegant and graceful. The entrance welcomes you with its fine marble floor leading you into the plush lounge. This stunning room, called “Le Hall” has an impressive Empire period chandelier as its centerpiece, porcelain Chinese table lamps and luxurious silk and wool carpets, and lots of comfortable seating; you can enjoy afternoon tea, or a light meal here. The floral decorations in this room are simply sumptuous. The hotel employs two fulltime florists who decorate the hotel with over 1000 flowers every day. I would recommend using the stairs to get to your room, to discover the beautiful stained-glass windows that grace the stairwells. Just like the hotel, the rooms and suites are tastefully decorated combining classical touches with modern"
"Baur au Lac",,"The couple coupled.","I loathe it when my trophy wife is referred to as my 'partner' for it belittles her genius and her decisive role in our family and, indeed, relationship. As the chauvinist in the relationship, my conscience and better part occasionally get the better of me and I take her away for sojourns such as the one we took in the Bower by the Lake, Zurich - not to be confused with the Bowyer by the Lake, a reference to Lee, the orc-like subhuman who once played football and the watery substance into which much of humanity wishes he would cast himself. Now I have had occasion to review the Bower in the past and, whilst I did so in glowing terms, there is no hyperbole that can adequately cover its glory in this review. This is, quite simply, one of the finest hotels on Planet Earth. I need"
"Baur au Lac",,"Classic European luxury","Old school European luxury hotel in a great location with much of the city within walking distance. The rooms were redone recently so they are new and conveniently equipped. Service is top class, and the breakfast spread is excellent. There's no reason not to recommend the hotel, except the price, which is usually for such a hotel."
"Baur au Lac",,"Just a dream","I have spent a couple of night at the Baur au Lac. Staff is fantastic and the rooms are beautiful and clean. It is luxurious but at the same time very elegant. Breakfast was fantastic, I will certainly come back!"
"Baur au Lac",,"Ultimate Grand Style & Luxury","Swiss hotel standards have diminished over the years as standards of service have become worse and worse. But at Baur au Lac it is family run, and it shows. The cuisine at the Terrasse is modern and fitting to the most spectacular garden that faces the lake. The garden has two most magnificent trees, one Japanese Ginko planted over a hundred years ago, and the other is just as impressive. Facing the lake the garden has an art in the park sculpture show until August 4, 2017 - it is awesome. The suite I stayed had the charm and modern luxury with a fantastic shower and bathroom area. The bed is impeccable and the overall impression is grand elegance and luxury in the centre if the city."
"Baur au Lac",,"Very nice indeed","Attended a wedding party at this magnificent hotel in the middle of Zürich. Professional staff always meeting you with a smile. Excellent food and service. Not difficult to understand that this hotel is on the top of rankings... Just great!"
"Baur au Lac",,"Nice historic hotel","Good service and staff are good. Love the mattress and pillows. Good breakfast. Location is perfect, In front of Zurich lake and 5 minutes walking to Banhofstrasse. Would like to have an electric kettle in the room. My husband and I enjoyed the stay."
"Baur au Lac",,"luxury at its finest...","this grand old hotel is wonderful, if you are used to the finest, this is it..right in the center of everything, walk to all the shops, the concierge is fab will rec restaurants according to your tastes, and help you tour the surrounding towns loved it"
"Baur au Lac",,"Simply perfect...","My dad was from Zurich. And as I child we spent our annual leave skiing in the Swiss Alps. Returning from a trip to Paris for New Year’s with my wife and young children I had a severe bout of nostalgia coupled with extreme guilt: I had not yet taken my kids skiing. The long and the short is we booked a trip to Switzerland for late February. We stayed six days at the Kulm in St. Moritz (see separate review) and a day on the way back at the Baur au Lac in Zurich. I’m the first to say that we’re are incredibly fortunate to be able to do these things although we are certainly not price insensitive (see review of Villa d’Este for family bio). We had booked a van to take us from St. Moritz to Zurich and we arrived late morning. The arrival was smooth: Doors were opened,"
"Baur au Lac",,"Truly a wonderful experience","I have stayed at the Baur au Lac for 60 years and it continues to be a wonderful place. Rooms have been updated but retain their old world charm. Service is excellent. Only drawback is the recent construction nearby"
"Baur au Lac",,"Palatial City Hotel","I returned to this property after several years, this time with wife and kids. Our two connecting rooms were quite large and had lots of nice little amenities upon arrival. The rooms were interior but bright. Make sure to turn on the air conditioner for the room to cool off before bedtime. Dinner at their bistro was excellent though pricey (that $200 of Amex credit went real fast here), and breakfast in the pavillion is a beautiful room and we liked the buffet as well as the hot items made to order. The gym here is probably one of the best of the city hotels and has a nice view of the lake. (I was disappointed by the gym at the Park Hyatt.) The bell staff, concierges and valets look after their guests well. Be sure and watch the hotel movie in your room; it is one of the best of"
"Baur au Lac",,"Our time in Zurich","As usual rooms were perfect very clean very bright nice bathroom give you a choice of walking shower or tub .staff so polite & charming ;nice restaurant specially the terrace give you peaceful automospher & great dish ; We tried all their resturant in hotels they been super prefect ;the only place was little disappointed was their room service the food was really bad Other wise we had great time on hotels it's been our place in Zurich since last 10 years and for sure if we go back we will go to the same hotel. "
"Baur au Lac",,"Short stay in Zurich","Wonderful stay at this beautiful hotel. Excellent service and very well appointed rooms. The outdoor garden restaurant is an oasis within the city. The location is also excellent for getting to know the city by foot. Will definitely stay there again when in Zurich."
"Baur au Lac",,"Luxury living in Zurich","“This is one of the best hotels I have ever stayed in!! They make you feel like the only guest in the hotel” “Staff were exceptional. Everyone and everything about the Baur au Lac is super. You always feel special , The concierge staff were fantastic."
"Baur au Lac",,"I night","Expensive high class hotel. Excellent location. Superb staff and concierge service. Wonderful breakfast buffet. Would splurge and stay here if only have a short time in zurich. Great dinner recommendation for seafood at local place that supplies their seafood..? Bachlia"
"Baur au Lac",,"Great location for walks around the town","The room was very nice, bathroom fantastic and shower great. Hotel is in a great location and the service was good. The outside bar does shut down quite early about 10 pm, but it was opened up for us a couple of times. Only problem was the construction next door. They did contain the sound in the hotel but outside dining can be very noisy"
"Baur au Lac",,"Bookmark (keep reading!)","There is a little story of my expereince in Baur au Lac that says it all. During my stay there, I left an open book that I was reading on my bed in my room and went out for dinner. While I was away a maid came to turn the bed. She had, of course, to move the book and she put it on the night table. Upon my return, I picked up the book and found a hotel book marker inserted between pages where I finished reading before going out. Hats off to Baur au Lac!"
"Baur au Lac",,"Swiss excellence","Baur au Lac is a dynamic hotel experience in that it is non pretentious luxury with utterly professional standards. it is refined, elegant and comfortable. while offering 5 star service, the staff is very personable and goes above and beyond to offer genuine hospitality of the highest order."
"Baur au Lac",,"I don't want to leave","I love this hotel. The location is wonderful. It overlooks Lake Zurich. Two steps away is access to a boat ride around the lake. A few Blocks away is the main shopping street. And within walking distance is Old Town. The service is excellent! The ambience is lovely. The rooms are very nice, and also very expensive. "
"Baur au Lac",,"Dinner at Pavillion","Fantastic service all around from beginning to end. All of our dishes tasted great, from bouillabaisse, foie gras terrine, pigeon (with truffle sauce and duck liver), turbot (with sturgeon caviar sauce and spring vegetables), beef in BBQ sauce with spaghetti (special cater for children), and petit fours. Personally found it extremely precious to have found a Michelin star restaurant that works above and beyond on servicing their guests to make the whole experience unforgettable. "
"Baur au Lac",,"Beautiful Location, Very traditional","This is a place I would visit with my grandparents. It is a very nice and old traditional hotel in Zurich. Right around the corner is another hotel in the same Price category that is a lot more modern and ""hip"", be sure to check out all your options when you visit Zurich lots of smaller Hotels will also be just as good as the big and famous ones."
"Baur au Lac",,"Amazing stay at Baur au Lac","We had a lovely time at the Baur au Lac. Everything was perfect and the team was professional and friendly. The concierge team was amazing, without exception, they gave us lots of advice and support. We came to the hotel on the recommendation of a friend back home in Abu Dhabi, and we would most certainly recommend it to others too. Thank you for making us feel special."
"Baur au Lac",,"Engadine Trek","This property and its staff are simply fabulous. Our rooms were A+, the food was outstanding and the staff created a warm, welcoming and relaxed environment for our family of eight. The location is perfect for experiencing Lake Zurich and the sights of the city. "
"Baur au Lac",,"Excellent","Check in was fast and smooth, we booked three rooms and got one room upgraded to a junior suite! The rooms are spacious enough, mixing modern and classic styles. I liked how the classic parts of the rooms didn't seem / smell musty. Also, the modern furniture gave the rooms a clean look. They even provide a tablet that contains all of the necessary information you need about the hotel ( services eg. Pillow section, laundry, concierge..) and about Zurich (weather, places to visit, etc) and much more stuff!! The bathrooms were fabulous, clean and modern enough. About the breakfast, it's delicious!! French toast was perfectly my style and the croissants are fresh. One more thing to mention, the staff is great and friendly!! Only one!! I think she's from the breakfast section"
"Baur au Lac",,"League of Its Own","The Baur Au Lac is the best hotel in Zurich ... and it ought to be given the price! That said, the place is immaculate and the service standards are world class (think Bristol in Paris or Hotel Bel Air in LA). Beds, sheets and towels are at the highest level, and room technology is intuitive and simple to operate. The restaurant is ""Swiss Continental Cuisine"" perfection but there are also interesting surprises like a Middle Eastern menu. The Staff speaks most major languages and the Concierge will get you into to any restaurant."
"Baur au Lac",,"classic","A very classic hotel - historic design and helpful concierge. great location among walking distance to old town and all the shopping. nicely decorated even have a pillow menu. breakfast was not included. thought that was the only downfall."
"Baur au Lac",,"old world charm and super location","The Baur au Lac is a grand dame for sure. well situated on the lake and in walking distance to all that is amazing about this city. the rooms are well appointed and what one would expect from old world with modern updates. the garden bar is super for afternoon drinks or lunch."
"Baur au Lac",,"very high class hoter in Zurich","Room is very elegant Foods are nicest in ZURICH also every thing s are fine and excellent I would like to stay in many coming years if you have nice days in Zurich you have more nice days in this hotel i"
"Baur au Lac",,"Magical","From our arrival to departure, there was nothing that was too much for this hotel. The hotel team was warm, friendly and efficient from every level. Concierge suggested a quick 1 hour tour around the local area and it was easy to find on the map he gave us. The service in the restaurant was friendly and efficient - nothing was ever too much trouble. The check-in/out was fast and efficient. There was even an art display in the gardens which so refreshing to experience and thus you can truly say this was a luxury 5 star experience. THANK YOU TO ALL THE TEAM - we will be back!"
"Baur au Lac",,"Beauty in Zurich","We only stayed one night at Baur au Lac but it truly is a 5 star hotel all around from beautifully decorated rooms, friendly and helpful staff, to delicious breakfast buffet. Location of the hotel is ideal to walk to old town. We will be back!!"
"Baur au Lac",,"Another Example of Swiss Perfection","We only stayed one night--but wish we had stayed longer. This is not the Hotel for the everyday traveller--unless you have an unlimited budget. That said, the prices should not discourage any visitor. You clearly get what you pay for. We were greeted by smiling and polite staff throughout our stay. The Concierge staff was exceptional. We had a minor incident upon our arrival where the female reception desk employee was rather unpleasant. She, like us, had apparently had a bad day (ours due to a travel mix-up) and was short and impatient. When I mentioned it to the more Senior Reception Manager, immediate apologies were offered as well as some outstanding Swiss chocolates. Enough said--problems are often incurred, but the measure of satisfaction comes in how they are"
"Baur au Lac",,"Afternoon Tea treat","We booked into the Hall for afternoon tea as a treat whilst we were staying for a few days in Zurich. WE have had afternoon tea in a number of hotels all over the world and this was very good indeed. The room is quite stunning and the service was very good but the room felt a little lifeless as there was only us and one other couple in at the time. There is unlimited tea and coffee included and you get another plate of sandwich and scones if you want. Being gluten intolerant they did cater well and it was most enjoyable but not cheap by any stretch of the imagination. 159CHF for 2 with one beer and one water."
"Baur au Lac",,"Fabulous Stay","Booked this hotel for a special birthday break for my wife in June . Everything from arrival greeting to the room , food & drinks absolutely First Class . Have no hesitation Highly recommending a stay here to any of our friends . Will be returning hopefully in September"
"Baur au Lac",,"An almost perfect stay. Still the best, but needs to address their breakfast service IMMEDIATELY","The Baur is such a wonderful hotel and I look forward to my yearly visit very much. Room was lovely. Desk staff and concierge were fantastic. It really is a heavenly place to stay. Rive Gauche, the terrace cafe, was so outstanding. During my stay, was there for lunch, dinner and drinks on different days. Perfect setting and wonderful staff. Was absolutely perfection. What happened in the Pavilion for breakfast, however, was an unmitigated disaster. On a daily basis, I do not spoil myself with an indulgent breakfast. But when at the Baur, it is something I look forward to. How disappointed was I! After being seated hastily, and our hot beverage orders taken, we were neglected completely. No one ever came with a menu. Maybe we were in the mood for some lovely eggs"
"Baur au Lac",,"ART IN THE PARK","Zurich is a great city and Switzerland is wonderful. I have stayed in the best hotels around the world and this was amongst the finest. Service was unmatched. But for me the location and especially the rooms were exceptional. Thank you Baur Au Lac"
"Baur au Lac",,"Top Hotel in Zurich","Still one of the best hotel in Zürich. Close to the Zürich lake and the main shopping area. It has a great garden. Rooms are good but not sure it worth €600+ A night. FIFA executives love to stay here "
"Baur au Lac",,"Splendor on the Lake","This is a beautiful hotel situated right near Lake Zürich. The service is as good as any we have ever experienced if not better. Everyone was wonderful. Our suite was gorgeous and the food spectacular. Don't miss trying the Pavillion for dinner. We had a wonderful tour of the area in the Rolls Royce hosted by Josef from the hotel. It was great. I high;y recommend this property. You will love it."
"Baur au Lac",,"Excellent Hotel!","This is second time we have stayed at this wonderful hotel and I would very highly recommend it. It is expensive - but the place is beautifully run. The location is very central - located right by the lake and a 5 minute walk to the shopping street as well as the old town. The rooms are beautifully and very luxuriously decorated and well designed. The hotel also has its own garden - perfect for sitting outdoors on a summer's evening."
"Baur au Lac",,"Fabulous Stay","What a fabulous hotel! Everything was perfect -- the room was spacious as was the bathroom. The staff was perfect and every detail was done just right! We totally enjoyed our stay. Well worth the splurge!"
"Baur au Lac",,"Worth it","Well, what be said? Excellent location - 5 minutes walk from the Old town, right on the lake. Wonderful service. Luxurious rooms with everything needed. Whatever you ask for is done in no time. To put it into a nutshell - 5 stars hotel in its best notion. Not cheap at all, as well as Zurich itself. But quality for money ratio is almost perfect."
"Baur au Lac",,"Fantastic hotel, but very expensive","This is the most exclusive hotel in Zürich, but probably also one of the most expensive. Very nice rooms, attentive staff. Very service minded. Perfect for a romantic holiday or if you have deep pockets and want the best hotel in Zürich "
"Baur au Lac",,"All Rounded Michelin Restaurant","We have only 2 short days in Zurich, the weather was impeccable and the beautiful surroundings make our times rather tight, we still find times to indulge in Michelin Star meal. Baur au Lac's or Pavillion Zurich continue to earn 1 Star for 2017, in addition they hold 18 MilauGault points in Switzerland...so we decided to lunch here, it was another great experience to have. We reached the restaurant at about 11.50am while they just about getting ready to open door, I told the gentleman (kind of restaurant manager or supervisor) that I have only one hour or so for lunch and asked for his help, as French meal usually took much longer. He immediately assured me not to worry about it and just enjoy the lunch, will be done in one hour etc. We were led to our table just about at 12, we"
"Baur au Lac",,"Simply one of the best hotels in the world","The hotel more than exceeded its lofty reputation. We were upgraded to premier rooms which were exquisitely furnished, spotlessly clean and with all the modern technologies. Public rooms & restaurants were also spectacular. However, even better than the facilities was the service. Some of the reviews was that service was sometimes a little ""snooty"". What we saw was extremely friendly and helpful at every touch point. The valets had cars available in no time (sparkling clean); concierge got our party of 8 reservations on 15 minutes notice at one of the top Zurich restaurants; check in & check out was extremely prompt and even the housekeeping staff smiled and asked how they could help at all times. Yes, the hotel is expensive but if you want a very special experience well"
"Baur au Lac",,"Incredibile","The Baur au lake overlooking the lake is the grandest of the old palace hotels. The room has been given contemporary twists oversized photographs and original art works swirly carpets and padded leather headboard for the bed. The lobby bar and the light flooded Pavillon restaurant are glorious. The brand-new restaurant Rive Gauche just off the main bar is contemporary and cool. Amazing service "
"Baur au Lac",,"Best place to stay in Zurich","I like Zurich I travel there quite often, so I stayed in many hotels in Zurich. But during the last three visits I have been staying in Baur Au Lac, and I can say that it is the best place to stay. The service is impeccable. From the moment you enter the hotel until the moment you check out everything is perfect: service, rooms, quality of food. I can really recommend it to those people who value 5star service. Concerning the hotel building: it is a beautiful renovated building, with a small park by the lake. It's very close to the city center and the shopping area. The rooms are nicely decorated and spacious. I can say that my stay there was perfect."
"Baur au Lac",,"Understated Stellar","There is type of Swiss understatement that i find unique: being stellar and reliable without any need of showing off. No Swiss institution embodies this virtue more than Baur-au-Lac. As long as I can travel, I will recommend and return to this marvelous hotel."
"Baur au Lac",,"Classic","This is definitely a classic. Unfortunately, rooms enjoy a very limited view. Most of a inside, ""industrial"" courtyard or of surroundings by buildings. If you choose a room, get one overlooking the creek. Service is old school excellent, arguably the best in Zurich. The food is ok, pavilion restaurant is very well versed in culinary technique. Front desk and bell boys: perfect Room service: good Laundry: good Club sandwich index: 4/10"
"Baur au Lac",,"The Quintessential Five Star Experience","This is a beautiful property with an elegant decor. From the moment I arrived at the property, the members of the staff were extremely attentive and accommodating. Throughout my stay, the service was impeccable. My room was absolutely lovely and very comfortable, although a bit small. It was elegantly appointed and the layout optimized every inch of the relatively small space. The location is perfect. It's a short walk from Lake Zurich, a beautiful lake with a picturesque shoreline filled with activity. A few minutes walk in another direction and you find yourself amid exquisite shopping and an impressive restaurant district. My only regret is that my stay was so short."
"Baur au Lac",,"This is an eleven!","If you are spending any time at all in Zurich, this should be your spot. From the outside arrival to the final wave goodbye, every interaction with the staff does not disappoint. And the rooms and amenities are all you ever want in a fine hotel. The concierge and the staff anticipate almost every want or need, and make things happen effortlessly. Directions, restaurant recommendations, and help with a medicine prescription all took just minutes, and worked out amazingly well. I don't usually ""gush"", but the Baur au Lac delivers."
"Baur au Lac",,"Disappointing","My main disappointment with Baur au Lac is that I'd booked from seeing pictures of the Pavilion & accompanying terrace. The Pavilion was closed during my stay and the terrace un-serviced. It's also a hotel you have to get used to as all the doors are unmarked and you have to get an idea where everything is or keep on asking. It is a convenient city centre hotel and the other restaurant, Rive Gauche is outstanding. The room was pleasant enough although after the other hotels it was much smaller and I missed the views as the room looked out on a small court yard. As I was staying mid week the other guests seemed to be business orientated which it would suit more than for the holiday destination I had hoped. Everything was generally efficient, polite & courteous as expected from a"
"Baur au Lac",,"Luxury and excellent service","We spent one night at the hotel which is indeed very nice and has a very profesional concierge. We appreciated the welcome chocolate in our room and the very nice room and bathroom. Breakfast offer can be improved. We were a little upset because we asked to have a room with a lake view but this was not the case.👍👍🏼👍"
"Baur au Lac",,"My February stay","This hotel was excellent. The ambiance and the rooms are beautiful. The staff was wonderful and very accommodating. I had to leave at 5:30am to make the train and they even prepared breakfast for me to take along. They were professional and helpful with everything I needed. I highly recommend this beautiful hotel."
"Baur au Lac",,"Amazing service, luxury rooms, best concierge service ever","We were lucky to stay there for one week and this was a most exquisite hotel experience. The Baur au lac is a brilliant example of the Swiss hospitality perfection. It is very expensive but at least you get what you are paying for. You will find here a great mix of modern equipment and very cosy and classical design. It is nice, cosy, extremely comfortable (beds are cocoons, bathrooms are large with every amenities, lights and plugs everywhere you may need, curtains do close completely, etc, etc). And the place is cleaned and maintained in such a way that it always looks perfect as if you were the first customer to walk in. I doubt any client ever saw a mark or a spot on a wall or on the carpet at the Dolder. In room dining is same quality as the restaurants with a very large"
"Baur au Lac",,"Very Nice","The hotel is located by the lake with beautiful grounds for the guests to enjoy. It is situated just a few minutes from Bahnhofstrasse for shopping enthusiasts. There are lots of restaurants near the hotel. The room decors are beautiful. It's one of the best hotels in Zurich for sure."
"Baur au Lac",,"The best in Zurich Old School Glamour","Baur au Lac exceeded our expectations. A grand dame among the best of the best. The service is superior delux. Exceptional staff, facilities, Dining and location. We went for a low key birthday celebration and the staff made it most memorable. Thank you. We can't wait for an excuse to visit again!"
"Baur au Lac",,"One night in Zurich","Highest Zurich classic. Combination of old time and today. Always keep it's high standarts. The lobby bar has limited spirits. No big deal. No need to say how the hotel is clean. The most important thing for us is that you can smoke in your room."
"Baur au Lac",,"ALL IMPECCABLE EXCEPT.....","Everything in this historic hotel is what you would expect. Beautiful building, impeccable courteous staff and a superb location. What a pity breakfast was such a let down. Went three times during our stay and each time it was the same. No one to greet on arrival, waiting around until someone decided to attend to us. Then when taken into the dining room few tables available, as all that were empty were still to be cleared up from the last users. Timid, inexperienced staff and a limited choice of options both cooked and buffet. We also dined in Rive Gauche a couple of times which was completely the opposite....so those guys really need to explain to the breakfast team how it should be done!!"
"Baur au Lac",,"Amazing tea time at Le Hall","We had the best afternoon tea experience at Le Hall at hotel Baur Au Lac , thanks to the exceptional service of Kristian Panzer he was the best , we are definitely coming back. I'm a photographer , travel and food blogger from Qatar find me @MKAA20014 or on my snapchat mona_mkaa20014"
"Baur au Lac",,"Elegant lovely hotel with impeccable service","The Baur Au Lac is a grand hotel in the classic tradition. Elegant, with immaculate service delivered perfectly but also with warmth. The rooms are beautiful. The location is lovely. Everything in central Zurich is in walking distance and the lake is out the front door for a run or walk."
"Baur au Lac",,"Superb; not perfect but it'll do...","Stayed for a night on business January 2017. Bedroom (a double) near-perfect, the only major gripe being terribly noisy air conditioning, which came on fitfully during the night and sounded like someone turning on and off a giant hairdryer. The aircon isn't really needed in winter so I'd advise leaving it off, and perhaps staying elsewhere mid-Summer. Other moans: no coffee making facilities in the rooms, and bathroom tissue the texture of baking parchment. Keep all this in context however: rooms are large, beautifully furnished and well sound-proofed. The minibar is complimentary (don't get too excited: no wine or spirits and just two beers) and the bedding is top quality, as are the toiletries. Staff are super-friendly and very welcoming. I didn't dine at the hotel but"
"Baur au Lac",,"Classical elegance","Hard to beat the renowed elegance at this hotel. The service and food leaves nothing to be desired. The lobby had been redesigned and upgraded, a neccessary step to keep up with time maybe, but the old lobby was even more elegant in my opinion."
"Baur au Lac",,"Beautiful hotel. Best in Zurich","Great location. You can walk anywhere. The service is excellent especially the concierge who can help you arrange anything you need. Breakfast is excellent-fresh croissants and delicious eggs. I won't stay anywhere else."
"Baur au Lac",,"Runs Like a Swiss Watch","Having stayed at the Baur au Lac at least 30 times in the past 30 years, the latest being January 2017, I can safely say that the Baur au Lac runs with the effortless perfection of a fine Swiss watch. Everything, but everything, always works beautifully. The staff can't do enough. The food in its Rive Gauche Restaurant is outstanding, the enormous living room in which it serves tea and drinks is elegantly relaxing. The Christmas decorations, including the huge ginger bread house, were beautiful. I would only add Fox News and Fox Business to its TV channels. CNN is part of the past. Otherwise, this hotel never disappoints."
"Baur au Lac",,"Pesadilla Argentina","Excellent and traditional hotel in Zurich. I have comingo to this hotel since many years and is always excellent. The rooms ar very nice, and quiet. The maidas are very well trained. And the Concierges are Super. They are always at your service. And they are they know Zurich very well"
"Baur au Lac",,"The perfect experience","I have been staying at Baur au Lac regularly for many years. There was never a bad stay. From the happy smile of the doorman to the professional and friendly welcoming by the concierge and the reception staff there is perfection every where. The rooms are comfortable and beautiful. Breakfast is beautifully presented and the only thing missing is the thin slices of cheese which we Swedes prefer. This was later fixed, of course. It is delightful to at least once a year having the perfect hotel experience."
"Baur au Lac",,"Amazing hotel, amazing service, amazing experience","This was my first time in Zurich and did not know what to expect. I had booked this hotel after reading a number of reviews which said the hotel was excellent. Upon arriving at the hotel I was not disappointed, this has to be hands down one of the best hotels I have stayed in anywhere. From the moment we arrived the service was great, I can not fault it at all. The views from the hotel are amazing and the transport links are even better. The hotel is a short tram ride away from the main train station, which will connect you to any destination around Zurich. The facilities inside the hotel are also amazing, the restraunt, the room service the massages. There are also a number of restraints around the hotel which provide really flavoursism food. The only disappoint with this"
"Baur au Lac",,"Excellent service and very festive at Christmas","Baur au Lac has an excellent location, beautiful rooms, and delicious food, but the service is what makes the experience so memorable. The staff really cares about making your stay special, and everyone we encountered was kind, helpful, and friendly. Try to book a room on the river - it is much quieter than the street side of the hotel, and most of the rooms have balconies along the river. Our room was a generous size, as was the bathroom, and both the room and the bathroom had balconies. Of course, the wonderful and generous breakfast was also a highlight of our stay. The hotel also has beautiful Christmas decorations and was very festively decorated during our late-November stay. I appreciate how much they respect and enjoy the Christmas season; it added so much to our stay."
"Baur au Lac",,"Wow! Its an amazing hotel with perfect location","I loved this hotel the minute i stepped into the lobby. The staff are very professional and helpful. The location was perfect, shopping at your doorstep, and the lake was opposite the hotel, which was beautiful. The room, was luxurious and very comfortable. Even room service was very good. Interestingly, they had a 2 page "" pillow menu"" which i had not come across that before.The room had high tech gadgets, example, ordering room service on the iPad provided in the room. The staff are incredibly attentive, and the hotel is relaxed, luxurious highly organised. Well, it is Switzerland after all. It is an expensive hotel, no doubt about that, but quality and luxury are remembered long after you have paid your credit card bill, so for a memorable experience, I would recommend this"
"Baur au Lac",,"Great Afternoon-Tea at le Hall - EXCELLENT service","We have for the first time tried the afternoon tea at le Hall in the Baur au Lac Hotel Lobby and it was very delicious The food itself is very good as well as the teas offered. The price for the afternoon-tea is not cheap but normal for a five star hotel and the quality of the food is really great - and you can order more at no additional price. However, the best part of the afternoon-tea are the waiters. All of them are very friendly but our waiter was extraordinary competent with the teas and did an excellent job. When you have an afternoon tea or something else at a five star hotel, it usually is always very good but not the service but this time, it was really fantastic. Thank you!"
"Baur au Lac",,"Perfect as usual !!","Enjoyed my stay throughly , everything was perfect from check in to check out. Staff looked after all our requirements and were efficient with our requests. Been staying at Baur for a few years & Cannot wait to return again soon !"
"Baur au Lac",,"Summer Vacation","Beautifully located on Lake Zurich as well as the famous Bahnhofstrasse. A recently renovated hotel that always confirmed the hospitality of its hosts. The best of all were the concierge team members who relentlessly endeavored to make my family's vacation a memorable one. "
"Baur au Lac",,"Classic Luxury at its best","Had a fabulous time at the Baur au lac! Really enjoyed how the classic luxury elements like the kiosk and the concierge desk have stayed. At the same time the hotel has many modern ammenities and a very nice modern restaurant with amazing food. The service is truly exceptional - make sure to request the Rolls Royce airport transfer ;) The rooms are very spacious and combine modern touches with a classic design with white marble bathrooms. Only missed a Nespresso machine in the room and a Spa to relax after a long day work would be nice. Highly recommended."
"Baur au Lac",,"Luxury","Amazing hotel nothing bad about it , from front desk all the way to room service are well trained in speaking and treating there guests . You need the money to spend here but once again its a 5 star hotel with all top brands displayed on ground floor. 2 nights here with my wife she loved it . "
"Baur au Lac",,"Great location and wonderful staff","We booked our reservation via our membership with Leading Hotels of the World. We are fond of LHW hotels and enjoy our stays. We are provided LHW amenities in 98% of the properties. Upon arrival we were shown to a courtyard view room which was very comfortable, but not very large. The room amenities were fine. It was quiet and the personnel were very friendly and efficient. The property itself is in a great location. It is steeped in history and ambiance. There are a few different places to dine and the breakfast included with our room was impressive. I was disappointed that some of the benefits of a Leaders Club member were not provided. I expected a bit more than I received. Still it is a nice property and staff. It was the smallest and most expensive room I have"
"Baur au Lac",,"Afternoon tea, at its best!!!","Although living in Switzerland we visited the Baur au Lac for the first time. My mother had her birthday so I wanted to make her a nice gift and invite her in Le Hall to enjoy the Afternoon tea. At the time we entered the Hall, the Manager( Panagiotis) greeted us warmly with a smile in his face and escorted us to the table next to the fireplace. He explained us what is offered in the Afternoon tea and recommended us to try in the end the special hot chocolate( as it is made by actual chocolate peaces and not powder) which was btw delicious . The room was beautifully decorated with colorful flowers , olive trees and vases. The furniture are new and modern with a traditional touch though. We started with a glass of champagne and the waiter came with the food( mini sandwiches with"
"Baur au Lac",,"Bah on the Lake!","Needing to stay in Zurich for just one night, I thought we'd treat ourselves to a nice, classic hotel. Nice and classic it was. Service was ok. Room was tiny. Food was just so-so. All would've been ok if it wasn't just so darned expensive! And on the lake? Bah-bah humbug on the lake. It was by a lagoon, at best. A bit over-rated and most certainly a bit too costly for what one gets."
