title,content,
The best hotel in Lausanne,"I had a very big room (more like an apartment) with a very nice view on the lake. The bathroom was beautiful, there’s even a tv in the mirror! The staff was charming, the hotel was perfectly located and has lots of good restaurants. ",
Very expensive lunch for the quality,We called in here for lunch and were very disappointed. We both had the ‘fish and chips’ and as one reviewer recently wrote ‘$50 for a hamburger is outrageous’ I tend to agree paying $68 ea for fish and chips is also outrageous! It was nothing special and the pomme frites were just regular pomme frites! The service was just ok...waiters seemed bored and not very friendly. I am glad we didn’t book this hotel to stay at!,
Timeless elegance and the finest of service,"I used to live in Switzerland, in Montreux, and since I return regularly, I always want my experience to feel as though I am home again. I have stayed at all of the luxury hotels in the canton and all the way to Geneva and The Beau Rivage Palace meets and exceeds them all in every way. The views are dreamy and the shores of Lac Laman are a very short walk (just across the street). The lovely walk to the shopping area with the department store Bon Genie and the many beautiful shops are walkable and the vineyards and Lutry are very close as well. Swiss wineries and the wines are a well kept sectret and all the small villages that line the Swiss riviera are so charming and breathtakingly beautiful and not far from the hotel. The rooms are spacious and tastefully and recently",
excellent hotel,"Beautiful location at lakeside with view onto well-tailored garden, lake and mountains; hotel style majestic and beautifully renovated. Outstanding breakfast buffet. One of my favorite hotels in light of its high quality and style.",
Luxury experience!,"I really liked this place. All was perfect: the food, the service , the excelent view of the lake, the parking. The classic decoration of the diferent spacious and the beautiful gardens. That night we had a delicious dinner .",
No distinction of kids vs no kids areas... catastrophic for relaxation,"The hotel is fine but there is a major issue with regards to how kids are managed... We tried to go down to the spa and were basically in a kids kindergarden - you try to sit in the jacuzzi and you get jumped in by 5 3-4 year olds with floaters around their arms, screams non-stop, parents who think it’s totally normal and worse staff that lets it all go by while several couples were trying to relax and ended up leaving the premises one after the other... The day after you go to breakfast and there too, you sit at your table hoping to enjoy your morning and you get 3 tables of small kids beside you with more screams. Maybe the hotel should seriously think of restraining access to some areas of the ‘relaxing spa’ to under 14 ages kids and reserve areas within the breakfast areas",
Old world elegance,"One of the truly grand hotels of Europe, old world elegance with all the modern conveniences and impeccable service. Had a renovated room overlooking the lake with views of Evian in the distance. Only think lacking was a coffee maker in the room.",
Excellent location and beautiful views.,"This was our second visit to this beautiful and classic hotel. We had a room with a view of the lake. The room was spacious with a very large bathroom. I loved the spa facilities here from the gym, sauna, steam room, pool and hot tub-I used these facilities daily. The staff and concierge here helped us arrange to send our very heavy suitcase via Swiss rail to our next location . There are many restaurants in the hotel and steps away from other restaurants. It is a short walk to the Olympic museum and steps away from strolling down the lake promenade. There is an outdoor terrace with excellent service and views of the beautiful lawn.",
Fantastic hotel,"This is a true 5star hotel, certainly one of the best in Switzerland and in Europe. It has tremendous history, great views (make sure you pay up for lakeside rooms), immaculate rooms and first-rate service. We were very impressed with this hotel. It’s certainly expensive but given the overall quality it’s actually good value for money. We also loved the afternoon tea. Highly recommended hotel if you want to splash out for a memorable experience. ",
"Great hotel, attentive service","We thoroughly enjoyed our stay at the Beau-Rivage. The room was large, clean, and quiet with modern amenities (nespresso machine). Located on the lake, it is just a short bus ride to the city center. The staff (reception, concierge, bar, spa, and dining room) were all attentive and friendly.",
Best hotel in the world!,Another fabulous stay in what I feel is the best hotel I’ve ever been to. After my 4-star review in 2016 (change of management?) I had the chance to come back several times and observe with delight the hotels way back to highest levels. And once more: more than it’s luxurious beauty it’s clearly the staff which brings this gem to top level. Every single person you meet is perfectly trained and makes you feel at home. And a huge pleasure: as a regular guest you feel treated like a king. Thank you so much to the entire BRP team for another unforgettable stay!,
A must,"Amazing hotel. Outstanding attentive service. Great location and breathtaking views over lake Geneva (for lake facing rooms). The rooms are beautiful and functional. The bars, lounges and restaurants, including iconic Anne-Sophie Pic, are all top notch. The spa and 2 pools are luxurious and open year-round. I just spent an unforgettable weekend at Beau Rivage Palace and recommend it for a true 5-star experience. This remains one of the very top hotels in the world. I will go back and highly recommend it!",
A big rip off- such a shame,"This hotel is a great historic hotel with a beautiful setting and beautiful common rooms. It sits on Lake Geneva and one would expect to love the place. i could not wait to leave! I travel around the world and stay at great hotels on a very frequent basis. I accept that these places are rather pricey. But Beau rivage Palace takes the cake. For instance, I asked for a simple hamburger without looking at the menu. what a mistake. When i got the bill the hamburger costs over $50. Come on! the lauder service pricing was completely insane. for a few undergarments and a few t shirts, the cost was over $150. i went down the street and had a excellent job for $15. Also, the rooms are really old fashion and desperately in need of update. they have that old synthetic material for the",
Visited for a day,"We didn’t stay here but spend the day and had lunch, did a little shopping and then had tea & snacks at the piano bar. It’s an must go to palace. I must admit I was disappointed in the service just a little. We had an arrogant waiter for lunch but other than that everything was lovely and the history and ballrooms are outstanding. I will be sure to book a trip to come and enjoy during the spring. ",
"Terrible stay, would not recommend","Stayed for 2 nights. Was allocated a room overlooking the car park. Room was sweltering hot and had a very uncomfortable stay. Slept very poorly. Food in restaurant in the evening was delayed in arriving, despite set menu. Hotel appeared tired. Was very disappointed and would not recommend.",
An experience worth your while,"We have been in a lot of hotels of all levels around the world but the Beau Rivage stands in a league of its own. Both the ladies the gentlemen at the front desk are very welcoming and professional. The attention to detail is excellent. Breakfast again, was excellent. It is also worth your while to have closer look at all the different features of the building itself, beginning in your own bedroom. This building oozes history, both past and recent. The Beau Rivage is more than a hotel… It’s an experience.",
EXCELLENCE IN EVERY RESPECT!,"What can we possibly say about the Beau-Rivage Palace that isn't already abundantly obvious to everyone who has read anything about this magnificent establishment? It is the place where on 24 July 1923, the Treaty of Lausanne was signed. The International Olympic movement's headquarters are literally next door. Sitting in a glorious Belle Epoque building fronting the shores of Lake Geneva, the Beau-Rivage Palace is one of the most luxurious hotels a jet setter could ever stay at. Magnificent lobby, unbelievable hallways that take the breath away. Amazing function rooms with ornate ceilings, and guest rooms that are top end luxury. Our room featured a television embedded into the bathroom mirror! The staff are wonderful, and courteous, none more so than Beat Ganz who loves every",
Biloxi Fun,"The Beau-Rivage is one of the most beautiful Hotel/Casino/Shopping and Restaurant complex we have visited on the Gulf Coast. Southern hospitality at its finest! Great food, awesome casino selections to choose for your enjoyment. A Must come to place for all to enjoy!",
Superb,A true icon in the Swiss hospitality industry. Nathalie Seiler and her team ensure that it stays that way. Great rooms with great restaurant and spa/gym facilities. Not to miss is their Japanese restaurant which is always busy. Also the outside terrace in summer is so truly wonderful and probably the best place to enjoy the lakeside of Ouchy. The Beau Rivage really sets the example of a Swiss hotel which is well maintained and exceeds guests expectations. I can't wait to return!,
Fantastic setting on lake Geneva!,"My wife and I stayed here for 6 nights in a suite. The property is very lovely, surrounded by gardens and situated above lake Geneva. The room quality was superb and the staff were gracious, friendly and very responsive. We had room service (breakfast and dinner) on the terrace of our room which was magical. The hotel bar has a very hip vibe and is a great place to grab a cocktail and people watch. A late Lunch at the Cafe outside on the terrace is a must. Cozy chairs and couches covered in lamb skins with blankets to keep the chill off on a winter afternoon are the perfect touch. The only negative I can mention is that there is construction going on in front of the hotel BUT I only noticed it when I arrived and departed. ",
Historic charm and excellent service,"We stayed for a weekend at the Beau Rivage just to relax. The site of the hotel is spectacular right on the lake. The architecture is a site by itself, the historic building is beautifully preserved but at the same time has all modern comfort. We loved strolling through the hotel hallways and looking at the historic letters and pictures on display that talk about the magnificent history of the Beau Rivage. We stayed in room 555 which faced the lake on the upper floor. The room was very beautiful and elegant but at the same time we felt very much at home and cosy. I especially loved the huge comfy bed and spacious bathroom including tub. What really stood out at the Beau Rivage though was the attentive and authentically friendly staff. From checkin at reception to the team at",
So Beautiful !,"This hotel was highly recommended by a friend and did not disappointed us. We booked for 2 nights and decided to stay for an extra two. The room was spacious, comfortable and so cozy that it was difficult to leave it. The bathroom has a hidden tv mirror. Bulgari products. The Spa is very good and the staff very friendly. Valet parking The whole place is amazing. Highly recommended.",
Amazing,"I’m a frequent guest in this hotel, and this hotel on my opinion the best hotel in Lausanne by far. And my every experience in this hotel is an remarkable experience, but this time I was a bit disappointed in the lounge bar, we were waiting for an hour of our mains, which is too long for the lounge bar. But the rooms ( in the new building) are amazing, as well as the cleaning in this hotel is also amazing. You have an amazing open pool (not heating), tennis courts and the park, so if you have a family and you want to spend 500 a night, this is a must go, a perfect place for romantic and family stay-overs. ",
the best swiss hotel ever! can't wait to come again!,"As soon as we strolled up to the front door of this grand-looking hotel we knew we were going to have an amazing experience for the next two days. It’s grand-looking entrance where staff rushed to help us with our heavy bags immediately made us feel special. I have stayed in many luxury hotels over the years but none like the Beau-Rivage Palace Lausanne. The service by the staff at Beau-Rivage Palace was nothing but perfect. Everyone went out of their way to make sure I had everything that I needed. We stayed in Junior Suite Palace, and we loved it! A spacious, comfortable and modern hotel room with everything we could possibly dream about. We had a writing desk (it's very important for me because I work during my trips), sitting area, coffee/tea-making station with minibar,",
One Of The Best On The Planet,We visit Lausanne often to visit our grandchildren. I actually think we go so we can stay at the Beau Rivage. The hotel just keeps getting better. The wonderful staff do everything they can to make your stay memorable and fantastic. We cannot find any flaws. Worth every Swiss franc. ,
Fantastic as usual,"I returned to this hotel with my husband for a city escape and relaxing time. Everything was perfect from the exceptional service, friendly staff to the beautiful room with an amazing view on the lake and the mountains. The breakfast was excellent with a great range of dishes, breads, eggs, pastries, We enjoyed the spa facility, with the heated swimming pool and jacuzzi. The terrace is also great, even in winter, with plaids and heaters not to be cold. Highly recommended for anyone wanting to treat themselves.",
"Top hotel, top service, top location - it doesn't get much better than this!","The Beau-Rivage Palace is truly one of the great hotels of the world and not just because of it's location or facilities, but because of the friendliness and quality of the staff. Every person we had contact with was truly happy to assist and take their time for us - you can tell that the staff is genuinely happy to work there, which cannot be said about most other hotels. This element, along with the elegant facilities, gives you an immediate sense of calm and serenity once inside. We were also charmed by a small, but very kind gesture. As we were travelling with our 7-month old daughter, we requested a baby cot. What we found in the room was a beautiful wooden baby bed, with a very cozy blanket, a stuffed toy wrapped in a nice little bag and a balloon, which she obviously",
Felt like a cozy home,Stayed for 4 nights. It was like staying at a cozy home. The view from the room was stunning as well- the river and the sun shine. Looking out the window in the morning itself was healing. It was not like a typical hotel especially in Asia. Breakfast was nice and the staff as well. I would definitely like to stay here during my many business trips.,
The Bar was a nice refuge after walking and sight seeing,The Bar is on the street level of this high end hotel ... we were dressed for outdoor walking and exploring Ouchy (blue jeans and sweaters) yet the staff was welcoming when we asked if we could come in for drinks to talk about our day’s adventures ... a very nice venue to enjoy the ambiance of a classic bar with excellent cocktails and a fine wine list ... suggest dressing up if returning later in the evening and can picture this as a location for couples to have a drink before or after dinner ,
Perfect luxury service,I stayed at this gorgeous hotel in December for a long weekend for my sister's graduation and I was completely impressed by the extremely high level of service. I'm not sure if it is because of all the hotel school around the area but there was never an interaction with a member of staff which was not faultless. I had a lovely lake-view room (recently renovated) in the West building. I saw a room in the East building and it wasn't as nice and new. The spa and fitness room are also very good. Great breakfast buffet.,
A Palace by the Lake,"I stayed at the Beau Rivage for 10 nights this winter. Lausanne is not known as a Winter destination. So, obviously, this was a business trip. The hotel overlooks Lake Geneva and I believe it is the best hotel in the town. It is quite old, some parts of the hotel were renovated. I got lucky that I stayed in the renovated part. There is one elevator that serves the renovated section. The room design was nice. However, the room was quite small (even for 1 person). The bathroom has a walk in shower (no bath). To access the hotel form the lake side, you will need to take an elevator to the mezzanine level then take 15-18 steps to the ground floor (an escalator might be a good idea from lake level to the ground level). Breakfast room is quite specious and has beautiful views and",
Amazing Beau Rivage Palace!,"A quick weekend getaway to see the Christmas markets led us to the Beau Rivage Palace in Lausanne. This hotel is a quick 45min train ride from Geneva Airport in the beautiful lakeside town of Lausanne. What a fabulous, warm welcoming hotel with extraordinary staff! The hotel offered us a free metro ticket to explore the town and the next day we were back on the train for a 20min ride to another lakeside city, Montreux. Beautiful resort, fabulous food and we didn't even get to the 2*restaurant on site. You'll love it anytime of year!",
Beauty on the lake,"The place is breathing of Belle Époque charm, beauty and luxury the same time. Amazing service from every single person as soon as you walk in. Very personal attention from everyone. The only one restaurant was disappointing but everything else were superb.",
Great stay & location,"I stayed at Beau-Rivage during a business trip in Lausanne. The room was really spacious and beautifully decorated and overlooked beautiful Lake Léman. The staff at the hotel was very welcoming, the service provided was great and the breakfast served would cater for all tastes.",
Luxury on the lake,This is one of the most luxurious hotels we have stayed in everything about this hotel oozes comfort and attention to detail. Staff are obviously well trained and attentive. Great ambiance is all around and judging by the signed photos all around of the worlds great and good this is an opinion that is shared.,
spectacular stay,"I am very impressed with the great service at the Beau Rivage hotel. The staff at the hotel were very welcoming, I had a spacious room with an outstanding view of lake Geneva. The food was delicious . I hope I could repeat this enjoyable experience again.",
Relaxing spot and great historic feel!,"Perfect for chilling, enjoying the spot, the food and the spa. Subtle luxury also in the service. Very close to the lake and the Olympic museum. Balanced mix between old luxury style and modern touch.We will be back.",
"Excellent hotel, greate location, and above expectations",When it was recommended to me I was not expecting an outstanding but it certainly was. Staff ane very friendly and helpful. Location absolutely greate and worth the stay. Worth to point out that I stayed in the renovated part of the hotel and not the old part.,
Phenomenal,"This is 5 star at it's best, from the grand entrance, beautiful artwork, flawless service & breathtaking views over the gardens, to the trully astounding rooms. This place it huge you can not help to be impressed ",
A Superb Experience,"We went to the Beau Rivage for Anne Sophie Pic's restaurant and stayed a night. We had our dog and they had even put a water bowl in the room for him. The beds are amazing. rarely have I slept so well!! A wonderful experience, excellent service and an overall relaxing and luxurious time.",
Great hotel,It was a great pleasure to stay in this beautyful hotel. We enjoyed the Spa and the outdoor Swimmingpool even it was November. The breakfast was delicious. The lication is great. Clise to the lake and metro which takes you immediately to the centre and to the gare. ,
Exceptional hotel with unique location,"Unique and calm location with a splendid view to the park, the Geneva Lake and the Alps. Hotel, service and surroundings are second to none. Restaurants and bars for any exclusive taste, in- and outdoor swimmingpools and tastefully furnished rooms. Definitely a place to revisit.",
Wow Wow Wow!,What a Grand Hotel. While Expensive it is worth the money. We had a lake view room and again worth the cost. The room was the best maintained and decorated I think I have ever had the pleasure of using. The faint blue color walls were so wonderful. The bathroom was over the top with amenities and design. The public areas were grand and you can spend the day sitting and watching guests from all over the world. There are no faults with this hotel. ,
excellent hotel and location,outstanding customer service and location ! You will enjoy the view on the lake and very good potential for nice runs outside going on the left side of the Riviera . Try the Anne Sophie Pic restaurant where you will have an amazing moment and even discover nice Swiss wines !!! A place to go again and rest.,
What an excellent Meal at the LOBBY LOUNGE!,"The lobby lounge and its terrasse has excellent location and Lake Geneva view and food quality with various choices that suit every taste and all ages. But the only thing that makes all of the above-mentioned advantages felt is the professional staff, Mr. Jordan. His friendly attitude forces you to appreciate everything he does. He seems to love his job that he does it with true pleasure. He will go out of his way to get you what you are looking for just to add a smile on your face. If you are lucky that he is your waiter, he will make your meal service an unforgettable experience. Congratulations to Beau-Rivage Palace on recruiting such a talented staff that adds a positive note on your guests' experience at your hotel.",
Swiss landmark,"This hotel has been the place where history been made many time in last century, the hotel is definitely the best 5 star hotel in Lausanne ( probably the best in Switzerland) The building looks magnificent , with great Lobby area The check in was smooth and the duty manger was standing in the front disk he Welcome us and give us upgrade to one of The biggest suites i ever been in . The suite: acutely I don't no what exactly the call this suite because they have so many types of suites which come in every size & shape , however, the suite have 2 entrance , large room with large bath room With bvlgari amenities. And huge living room which consists of beautiful seating area enough for at least 8 people, working desk and very big dinner table for 12 people , also second bathroom",
The Ritz lives up to it's name!,This hotel stay was part of a trip that I won through my company. What a beautiful hotel and the location is fabulous! If you have a large group the bar tenders can get overwhelmed but all in all it was lovely place!,
Beautiful Lausanne,Myself and my partner spent 3 fantastic nights at the Beau Rivage Palace Lausanne. The hotel is set directly on the lake and has spectacular views of the Alps. Our room was tastefully decorated and had a gorgeous view of the lake & Alpes. There is an amazing selection for the breakfast buffet plus you can also order from the a la carte menu. We also ate in the Lobby Bar which was also very good. I would definitely stay here again.,
Beautiful Views and a great location in Lausanne,"I spend many many days staying in top Leading Hotels of the World. I have to be honest that Beau Rivage did not really wow us, although the service was exemplary and I would like to mention Jonathan ( The English/French) concierge who was really helpful. There was not that much warmth about the hotel. Possibly because it is such a large hotel. The statues in the hall I think should go and replace them with beautiful flower arrangements! ( This is a very personal view!) Our room ( 128 ) was very comfortable but we were surprised that there was no tea or coffee making facilities in our room. All the Leading Hotels that we have stayed in have Expresso machines, a kettle with complimentary tea and coffee. We did not use the Spa so I cannot comment on it. We only had breakfast one",
A superb short trip,"We went to this amazing hotel with breathtaking views of Lac Leman. We had heard many good things about this hotel, but nothing that would prepare us for how beautiful this place is. The hotel is faultless, with the service and cuisine impeccable. There is nothing that is too much trouble for them. The restaurants, which include a brasserie, a Japanese establishment, terrace light food, and of course, Anne Sophie Pic, offer more than you need. The rooms with the lake view have the most wonderful outlook. they are furbished beautifully. i don't think i can remember more tastefully designed rooms. I cannot say how impressed i was.",
Spectacular,"The hotel is unbelievably lovely and exceeded all expectations. The view of the lake from my room was breathtaking. Watch the sun rise over the lake was a perfect way to start each day. The hotel staff was professional and friendly. My room was wonderful and came with a sauna, which was unexpected. I would definitely come back for vacation. ",
By the lake,"I attended a work seminar in this lovely hotel in October 2017. This is the perfect place for business events as it gives so many possibilities for meetings, conferences and meals. The quality of the food was excellent. They serve French-style modern cuisine.",
Spectacular hotel and exemplary customer service,My wife and I stayed here after a nice stay at Geneva at the Mandarin Oriental. It was a great surprise as it really transcended our expectations. Firstly the palace is architecturally quite impressive and the accommodations spacious and the views just sublime. It is part of the fine hotels & resorts program and that meant that the staff had pride in their work and it was evident with every interaction. We were warmly welcomed and the transition from our car to the room was seamless. Charlotte (front desk) and Jonathan (head concierge) were simply fantastic- true professionals who ensured that our stay was comfortable and immensely enjoyable. We were personally escorted to the room. It was a very beautifully decorated room with an equally beautiful vista over the lake. The,
As expected...,"The Beau-Rivage is all of what you would expect from a classic old school Grand-Hotel. The location is at the lake and probably hard to find anything better in Lausanne. Great service although slightly arrogant. The rooms are nicely refurbished and sizewise ok. Try to stay away from the elevators - the hotel service access is next to them and service staff create some noise. Best, try to get a room facing the lake. The Spa is well equipped with in- and outdoor pool. Also gym (rather small) - if the hotel is heavily utilized there can be waiting times. Breakfast ist probably the best in town. Vast selection of cold and hot food and also healthy selection. In case the weather permits, there is wonderful seating outside with a view onto the lake. All of the restaurants are good.",
Excellent experience,One of the best hotels in the world. We were very impressed both with the hotel & staff. Gorgeous view on the Lake Geneva and the Alpes. Everything was just perfect. We would recommend to stay in this hotel.,
Very nice hotel with excellent service,"I stayed there for one night only and I was sorry to leave ! Gorgeous view on the lake from the corner suite I was kindly upgraded to! The bedroom is extremely comfortable with excellent bed and very soft bed linen, huge sofa, desk facing the view, plus details that make life easier such as many plugs located where you need them, large dressing and many closets, elegant bathroom, etc. No way to find any negative comment 5th floor is extremely quiet and cosy. I would recommend having breakfast in the room rather than going down to the breakfast room that is very busy and therefore somewhat noisy. I will certainly be back anytime I need to stay in Lausanne",
Top of the tops,"Just about nothing to say negative about this hotel. Amazing how a great hotel has stayed great all theee years. Very high end andvworth every penny. Located on lake shore front so easy for strolling all day. 2 blocks from metro. So convient to everything including train station. And dont use the little door chain lock. Very tricky to undo if needing to get out of room in emergency. I suggest you to get the largest room without breaking the bank. One important item i hope an improvement is made is there are not any safety grab bars around the enormous tub, at least in my recently updated room. And one minor point. Listen carefully to person who escorts you to your room especialy about heating and lighting fixture procedures. Tricky. Also take the breakfast buffet option with",
Looking for a Wonderful Hotel in Lausanne - this is it.,"Excellent from first arrival to departure. Service was first class and personalized. Location is perfect for views, but also for easy access to local attractions in Switzerland and France. Ann Sophie Pic restaurant (2 Michelin stars) is absolutely memorable.",
Fantastic,"Wow! What a fantastic hotel, this was the 2nd night of a driving holiday the hotel is opulent yet understated, pure elegance our twin room was absolutely beautiful, light and airy with gorgeous fresh flowers with a fantastic view over the lake, the staff were so accommodating and helpful nothing was too much trouble, bar prices were expensive but I suppose that's to be expected in such an establishment I would highly recommend this hotel and just a shame we were only here for 1 night ",
Old school luxury,"This hotel embodies the Belle Époque, grand and stately, beautiful grounds and unbridled luxury. Our room was spacious and the bathroom was luxurious with great amenities, a full tub and a separate balcony. The hotel is expensive, as is much of Switzerland, but the location makes it an ideal place to see Lausanne without being part of the cacophony of the big city. Ouchy is quaint and easier to manage. Staff at hotel were courteous and charming. The views of the lake were unparalleled. Breakfast was amazing, fresh and much variety. We had an early train on our last day so they gave us an to-go box so we could pack for the train. Thank you for a wonderful experience.",
Wonderful Experience at the Beau Rivage Lausanne,"The service, staff, and facilities were outstanding. Our room was one of more beautiful and comfortable we have experienced in all the years of our travel. The decor was very tasteful and unique. The food and beverages were pricy which I probably should have expected. We traveled with a group of four. Some of the dishes at the restaurants visited were excellent, some were not up to expectations given the pricing. I would nevertheless highly recommend this property.",
Road trio,"Stayed at the hotel for two nights on way back from lake Como to Calais. The hotel is very clean, the staff are helpful and friendly. The room was spacious and the bathroom was particularly well appointed with new fixtures and fittings. The shower is superb. The food is of a high standard and very enjoyable. The car park is small and you run the risk of getting boxed in. That said the hotel quickly got other guests to move to let us out. Strangely the hotel has no bar, so all drinks etc are bottled no draft beers whatsoever. I settled on the white German beers which is ok. Had a very pleasant stay, would return and happy to recommend.",
Excellent Stay.,Beautiful room with nice view of lake. It was nice relaxing room. Execellent service. Bathroom function was very nice. Can see the view of lake and mirror change to TV was relaxing. Breakfast was very good. ,
Great Property in idyllic location,"A very pleasant surprise, the Beau-Rivage is obviously a grand dame of Swiss hospitality with grand interiors and a history to match but it also has very tastefully designed contemporary interiors, a modern bar, the best Sushi I've found in Lausanne and a very good breakfast. There service is polite and professional, perhaps not quite Mandarin Oriental level of service but excellent nonetheless. A wonderful place to stay when in Lausanne. We stayed with a six month old baby and the staff were very supportive (in room setup and in the restaurants).",
Wonderful,"This is truly a gem of a hotel nestled on the edge of the lake. The service was smooth and friendly from beginning to end. Cosy bar, pretty terrace, well tended spa and pool. The newly refurbished rooms are extremely pretty, go for the lake view. The hotel staff completely spoilt my two small children, sending them up a surprise afternoon tea in the room, and letting them dress up as concierges to hand out keys for an hour while we enjoyed champagne at the bar. The breakfast was perfect too. We will be back soon. Thanks to Anais and all the lovely staff who found my lost cashmere jumper and returned it to me. ",
Exceptional service ! Rare luxury Palace A must if you are around.,"We were there a bit last minute with my wife ... not celebrating anything ! I knew the hotel from a previous business conference but of course, it is very different when you're just enjoying. Many celebrities were around, for some reason. The bar is great, terrasse and garden are fantastic, the SPA 5 Mondes is exceptional. We have not tried Anne Sophie Pic restaurant, as we have been in Valence before, and instead we went to the the exceptional place of Hotel de Ville, Viollier in Crissier, just 15mn drive from the hotel. The swimming pool is large and in/out, which is great. We had a very large suite overlooking the lake, modernly furnished, which was also a nice surprise. More than anything, we enjoyed very much the kindness of all staff. One little point was that the",
The best hotel in europe,"Staff, rooms, ambience, facilities, restaurants, food quality and variety, kids friendly all was amazing. The spa and gym were well equipped. The hotel location is superb. I recommend this hotel to everyone who is looking for a unforgettable experience.",
You always has to remember them your statut with LHW the breakfast service is poor and during our stay no hot water,The breakfast service and food was poor Same for restaurant . Room service food no taste at all. We were not recognize as LHw member always to remind them .. no hot water in bathroom Welcome gift wasnt provided we had to remind them . The room hasnt soundproof we were listening all night the other room ,
Wow,"We stayed 5 nights at this wonderful hotel. One of, if not the nicest hotel at which we haver ever stayed. Amazing staff, rooms, views, food. Nicely located on Lake Leman (Lake Geneva) near Montreux, Geneva, Ivoire (France), etc. Much to do in the hotel, in Lausanne (free public transit passes came with our room) and surroundings.",
The Most wonderful Experience,"The Hotel is faultless. Beautiful bright rooms, excellent staff, perfect luxury and restaurants fit for a King. If you have the budget this Hotel is exceptional in every way. Overlooking the lake it has the most superb views and is the perfect relaxation away from the crowds. All the staff are superb and are there to accommodate your every need. Most notably, Victoria, the perfect hostess with a wonderful charm way beyond her years - an absolute gem. A hotel that really is true perfection. ",
Wonderous facilities in an ideal location,beau rivage is an ideal lakeside base for exploring Lac Leman while enjoying a choice of exceptional restaurants. Every meal was a delight and Anne Sophie Pic fully justified a second visit with each of the tasting menus being distinctive and delicious. ,
The Lausanne Hotel!,"The newly renovated wing is fantastic - discreet and efficient service. Wonderful views of the lake from the suites, amenities are what you would look for in this type of establishement. Breakfast is very nice and a detour to ASP restaurant is worth a visit...",
Probably the best ever,"This hotel was clearly amazing. It might be the best hotel I have ever experienced. The service, the facility, the food were all perfect. We especially enjoyed the pool, overlooking beautiful Lake Geneva.",
Beautiful hotel in a beautiful location,"This was our second stay at the Beau-Rivage after a 10 year break. It's an absolutely wonderful hotel, with incredible attention to detail in virtually every aspect. It's beautifully located as well, and offers easy access to Geneva or the mountains.",
Perfect stay in beautiful hotel with great location,Our four night stay in this hotel was an excellent exprerience! We had a wonderful Superior Room with full lake view in Palace wing. The room's interior was lovely and the view to the lake was stunning. There were Lausanne City's fireworks launched from the lake because of the Swiss National Day and we could enjoy of it straight from our balcony. During our stay we got in every situation with the staff excellent service! The breakfast was delicious and we loved especially the fresh and sliced fruits - just wonderful! Overall our experience in Beau-Rivage Palace was just fantastic.,
The quality of the people!,"Leaving in a city crowded of 5star hotels and palace, what made the difference was the people. The skills and quality of the staff on all levels was absolutely outstanding! They make you surprisingly feel home with a high service level that comes naturally over. Congratulations! ",
"As ever, fantastic","This is our 4th trip to the Beau Rivage Palace and,as ever, the hotel is excellent with fantastic service, great food, very comfortable rooms with the enchanting lake view, and a relaxing pool area and spa A big thank you to the staff and management for maintaining 5 star plus standards and making our stay so enjoyable. This is a hotel that gets better with each visit. If possible, try and stay.",
our visit to lake geneva,"The location and quality of the hotel is great. The staff was friendly and the service was good. The price was a little more than it should be. Overall, we had a wonderful experience and will come back again.",
Shocking Experience,"After confirming my reservation by phone, I arrived to the Miyako restaurant with my partner to be told that we do not have a reservation and to come back in 30 minutes . After discussing our situation with the waiting staff, my partner and I headed to have a drink at the bar and returned to the restaurant (no apologies were extended and the staff did not bother find a solution or even escort us to the bar). The whole experience was average and was made worse by the inattention and the lack of empathy. Nothing about the service nor the food was outstanding. The reason I am writing this review is the dessert we were served. After ordering a Tirsmisu from one of the other F&B outlets (to have in Miyako), we received a portion that seemed like it was scooped by a 5 year old child.",
Stunning historical palace where the great and the good have stayed,"I have been coming to the Beau Rivage for the past 25 years and never tire of the glorious views of the lake and mountains from the terrace and the room. It is so uplifting I know it comes at a price but you are paying for an Institution where film stars and royalty have rested their heads including Charlie Chaplin; John Travolta, Keanu Reeves; various European and world royalty; sporting stars like Pele. All great company. I stayed in a lake view junior suite with stupendous views from the two balconies. Bed was extremely comfortable. Bathroom well equipped. Service was excellent. Breakfast buffet was a feast fit for a King.",
Beautiful Palace Horrible Service,"Lets start on a good note. The palace is located at one of the most beautiful spot in Lausanne and the building looks amazing. The rooms and all common areas are stunning to look at and the lawns are picture perfect. The Hotel is undoubtedly one of the most beautiful I have stayed in. Room service food & presentation gets 10/10 Now the downfall starts right from the doormen. The staff here is lousy and most of them are trainees so don't expect good service. ""good morning"" ""good afternoon"" doesn't exist in the hotel staff dictionary. The staff at the lobby bar is rude and doesn't even know the basics of serving drinks and would pass inappropriate racial comments on guests. Breakfast buffet is served in clumsy dishes and fruit bowls have been scratched black by cutlery. Even the",
Best Hotel Experience Ever,"My family and I stayed at the Beau Rivage Palace as my sister's wedding was being held at the hotel. We had a room in the Palace Wing, which I personally preferred to the other wing as it seems more modern. The room was absolutely beautiful. In fact, the entire hotel and its grounds were breath-taking and impressive, to say the least. The staff at the Beau Rivage were very warm and helpful, making our stay that much more enjoyable. This hotel is very expensive but if you have the opportunity to stay here, you should definitely do it. It is the experience of a lifetime!",
